ID,Type,Material,Status,Seating,Accessibility,Ownership,Condition,Location,Image,
1,Exterior Awning,Synthetic Fabric,Semi-Permanent,No,Open,Private,Fair,Grocery Store,https://i.postimg.cc/xd64bjvh/1.avif,
2,Outdoor Seating,Metal,Permanent,Yes,Paid,Private,Good,Restaurant/Café,https://i.postimg.cc/CMzWk86N/2.avif,
3,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/BbLcb4pT/3.avif,
4,Exterior Awning,Synthetic Fabric,Semi-Permanent,No,Open,Private,Good,Private Business,https://i.postimg.cc/CK746vdq/4.avif,
5,Bench Canopy,Wood,Permanent,Yes,Gated,Private,Good,Private Business,https://i.postimg.cc/3RbF3dXr/5.avif,
6,Bench Canopy,Wood,Permanent,Yes,Gated,Community-owned,Good,Community Garden,https://i.postimg.cc/bvpTgXYP/6.avif,
7,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/wjdXXp3x/7.avif,
8,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/8k0ZSn4d/8.avif,
9,Canopy,Metal,Permanent,No,Open,City-owned,Good,Public Housing Park,https://i.postimg.cc/gkLNkqtC/9.avif,
10,Bench Canopy,Metal,Permanent,Yes,Open,City-owned,Good,Public Housing Park,https://i.postimg.cc/TwkChk66/10.avif,
11,Bench Canopy,Metal,Permanent,Yes,Open,City-owned,Good,Public Housing Park,https://i.postimg.cc/fLW8wG1C/11.avif,
12,Exterior Awning,Synthetic Fabric,Semi-Permanent,No,Open,Private,Good,Grocery Store,https://i.postimg.cc/8k9BCWS6/12.avif,
13,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/bYCBvvyt/13.avif,
14,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/YqTD1ym2/14.avif,
15,Exterior Awning,Synthetic Fabric,Semi-Permanent,No,Open,Private,Good,Private Business,https://i.postimg.cc/43VD7RLT/15.avif,
16,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/sDxbPh6m/16.avif,
17,Bench Canopy,Wood,Permanent,Yes,Gated,City-owned,Good,Playground,https://i.postimg.cc/XJwnbCSd/17.avif,
18,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/bv4v8PGc/18.avif,
19,Umbrellas,Synthetic Fabric,Temporary,Yes,Paid,Private,Good,Restaurant/Café,https://i.postimg.cc/hjxttYxJ/19.avif,
20,Umbrellas,Synthetic Fabric,Temporary,No,Limited to vendor,Private,Good,Street Vendor,https://i.postimg.cc/Hngsct46/20.avif,
21,Exterior Awning,Panaflex,Semi-Permanent,No,Open,Private,Fair,Private Business,https://i.postimg.cc/vm4mpTZt/21.avif,
